"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"connect4",2,"forest","accuracy",0.6136,0.6136,0.6,0.6144,0.6136,0.6136,0.6136,0.6,0.6152,0.6176,0.6136,0.6136,0.6128,0.6152,0.6184,0.952
"covtype",2,"forest","accuracy",0.68,0.6784,0.6584,0.6768,0.68,0.6776,0.6784,0.6584,0.6744,0.6632,0.68,0.6784,0.652,0.6768,0.68,0.5984
"HIGGS",2,"forest","accuracy",0.6,0.6,0.5624,0.6,0.6,0.6016,0.6,0.5584,0.5832,0.5824,0.6024,0.6008,0.5592,0.5896,0.5752,0.6424
"kdd",2,"forest","accuracy",0.9456,0.944,0.9264,0.936,0.9472,0.9392,0.944,0.9392,0.932,0.94,0.944,0.944,0.94,0.9288,0.9472,0.6144
"simulC2",2,"forest","accuracy",0.5488,0.5488,0.544,0.5488,0.5488,0.5488,0.5496,0.5408,0.5448,0.5456,0.5656,0.5504,0.5776,0.524,0.5696,0.6064
"simulC8",2,"forest","accuracy",0.7184,0.7064,0.6728,0.684,0.7168,0.7104,0.7064,0.6784,0.6808,0.7048,0.74,0.7064,0.7288,0.632,0.732,0.8168
"spambase",2,"forest","accuracy",0.9176,0.9176,0.908,0.9176,0.9176,0.92,0.9168,0.9064,0.9128,0.9208,0.9168,0.9176,0.9136,0.9096,0.9136,0.9128
"connect4",4,"forest","accuracy",0.5976,0.596,0.592,0.5952,0.5952,0.5968,0.596,0.5928,0.5976,0.5912,0.5984,0.596,0.592,0.596,0.596,0.952
"covtype",4,"forest","accuracy",0.6472,0.6456,0.6384,0.6376,0.6368,0.6456,0.6456,0.6288,0.616,0.6264,0.6472,0.6456,0.6384,0.6376,0.6368,0.5984
"HIGGS",4,"forest","accuracy",0.5808,0.5808,0.5928,0.5896,0.5896,0.5824,0.5808,0.5888,0.5688,0.5704,0.5856,0.5808,0.5784,0.5832,0.5712,0.6424
"kdd",4,"forest","accuracy",0.9456,0.9456,0.9448,0.944,0.9472,0.9424,0.9456,0.9424,0.9448,0.9352,0.9464,0.9456,0.9464,0.9408,0.9496,0.6144
"simulC2",4,"forest","accuracy",0.58,0.5824,0.5536,0.5664,0.5664,0.5808,0.5824,0.5824,0.5904,0.5464,0.6024,0.5824,0.596,0.5248,0.5992,0.6064
"simulC8",4,"forest","accuracy",0.7072,0.664,0.6864,0.5952,0.7272,0.7056,0.664,0.6512,0.6032,0.6464,0.7416,0.664,0.7192,0.4896,0.7232,0.8168
"spambase",4,"forest","accuracy",0.9056,0.9064,0.8944,0.9032,0.9032,0.9064,0.9064,0.9008,0.8912,0.9072,0.9032,0.9064,0.8984,0.9024,0.896,0.9128
"connect4",7,"forest","accuracy",0.6064,0.6064,0.6088,0.6072,0.6072,0.6064,0.6064,0.6088,0.6072,0.6048,0.6072,0.6064,0.6048,0.608,0.596,0.952
"covtype",7,"forest","accuracy",0.6,0.5992,0.5864,0.6,0.5768,0.5992,0.5992,0.5952,0.5744,0.564,0.6,0.5992,0.5864,0.6,0.576,0.5984
"HIGGS",7,"forest","accuracy",0.5952,0.596,0.5792,0.6064,0.6064,0.5912,0.596,0.5776,0.588,0.5648,0.5992,0.596,0.5744,0.5768,0.5616,0.6424
"kdd",7,"forest","accuracy",0.9408,0.94,0.9432,0.9408,0.9432,0.9464,0.94,0.944,0.936,0.9464,0.9392,0.94,0.9408,0.9464,0.9424,0.6144
"simulC2",7,"forest","accuracy",0.5568,0.5576,0.552,0.5632,0.5632,0.5592,0.5576,0.552,0.5392,0.568,0.6336,0.5576,0.6192,0.4992,0.6304,0.6064
"simulC8",7,"forest","accuracy",0.592,0.4824,0.5896,0.3568,0.6152,0.5976,0.4824,0.5856,0.3536,0.5968,0.7,0.4824,0.6816,0.2784,0.676,0.8168
"spambase",7,"forest","accuracy",0.88,0.88,0.8744,0.8808,0.8808,0.8816,0.88,0.8736,0.8608,0.8656,0.8816,0.88,0.8808,0.8808,0.8696,0.9128
"connect4",11,"forest","accuracy",0.6328,0.6328,0.6328,0.6336,0.6336,0.6328,0.6328,0.6328,0.6336,0.6336,0.632,0.6328,0.632,0.6296,0.6192,0.952
"covtype",11,"forest","accuracy",0.5792,0.58,0.5792,0.5896,0.5776,0.5808,0.58,0.58,0.5504,0.5512,0.5784,0.58,0.5792,0.5896,0.5776,0.5984
"HIGGS",11,"forest","accuracy",0.5352,0.5376,0.5664,0.5424,0.5424,0.5496,0.5376,0.5688,0.556,0.5432,0.5496,0.5376,0.5616,0.536,0.5552,0.6424
"kdd",11,"forest","accuracy",0.9416,0.9416,0.9408,0.94,0.9448,0.9424,0.9416,0.9424,0.9392,0.9456,0.9432,0.9416,0.9432,0.9408,0.944,0.6144
"simulC2",11,"forest","accuracy",0.5536,0.556,0.5408,0.5672,0.5672,0.5464,0.556,0.5456,0.5616,0.5424,0.612,0.556,0.6072,0.5024,0.6264,0.6064
"simulC8",11,"forest","accuracy",0.5528,0.4032,0.5704,0.2704,0.6064,0.544,0.4032,0.572,0.2696,0.56,0.7024,0.4032,0.6936,0.2248,0.6896,0.8168
"spambase",11,"forest","accuracy",0.850666666666667,0.850666666666667,0.84,0.844,0.844,0.84,0.850666666666667,0.849333333333333,0.809333333333333,0.842666666666667,0.856,0.850666666666667,0.845333333333333,0.838666666666667,0.857333333333333,0.9128
"connect4",15,"forest","accuracy",0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.592,0.5888,0.5856,0.952
"covtype",15,"forest","accuracy",0.5712,0.5712,0.5768,0.568,0.5616,0.5768,0.5712,0.572,0.5416,0.5336,0.5712,0.5712,0.5768,0.568,0.5616,0.5984
"HIGGS",15,"forest","accuracy",0.552,0.5528,0.5456,0.5512,0.5512,0.548,0.5528,0.5496,0.5408,0.5432,0.5464,0.5528,0.5536,0.5368,0.5288,0.6424
"kdd",15,"forest","accuracy",0.9496,0.9496,0.9496,0.9504,0.9496,0.9488,0.9496,0.9496,0.9496,0.9504,0.9512,0.9496,0.9488,0.9496,0.9472,0.6144
"simulC2",15,"forest","accuracy",0.5336,0.5344,0.5144,0.5296,0.5296,0.5352,0.5344,0.5128,0.512,0.5248,0.6208,0.5344,0.6144,0.4608,0.6272,0.6064
"simulC8",15,"forest","accuracy",0.4504,0.3256,0.4872,0.2112,0.5448,0.4728,0.3256,0.4592,0.216,0.5064,0.68,0.3256,0.6536,0.1992,0.6536,0.8168
"spambase",15,"forest","accuracy",0.856,0.856,0.851,0.862,0.862,0.852,0.856,0.854,0.854,0.864,0.85,0.856,0.848,0.856,0.851,0.9128
"connect4",2,"lda","accuracy",0.516,0.5344,0.4416,0.532,0.5136,0.5256,0.5344,0.472,0.5336,0.528,0.5312,0.5344,0.52,0.5312,0.528,0.868
"covtype",2,"lda","accuracy",0.624,0.6416,0.5952,0.6408,0.6264,0.6072,0.6416,0.5832,0.6416,0.5992,0.624,0.6416,0.6016,0.6408,0.6264,0.5384
"HIGGS",2,"lda","accuracy",0.5856,0.5856,0.5368,0.5856,0.5856,0.5872,0.5856,0.5656,0.5872,0.5752,0.5864,0.5856,0.5712,0.5808,0.5848,0.5624
"kdd",2,"lda","accuracy",0.8648,0.8088,0.8648,0.8088,0.8648,0.8,0.8088,0.852,0.8088,0.8,0.828,0.8088,0.828,0.8088,0.828,0.5912
"simulC2",2,"lda","accuracy",0.5128,0.5128,0.5072,0.5128,0.5128,0.5104,0.5128,0.508,0.5176,0.4992,0.5216,0.5128,0.5248,0.492,0.5296,0.5128
"simulC8",2,"lda","accuracy",0.3504,0.3448,0.3688,0.3232,0.376,0.3512,0.3448,0.356,0.3232,0.3872,0.3696,0.3448,0.3744,0.3152,0.3856,0.324
"spambase",2,"lda","accuracy",0.8536,0.8528,0.8256,0.8528,0.8536,0.84,0.8528,0.8288,0.8536,0.8352,0.84,0.8528,0.8264,0.8512,0.8352,0.8664
"connect4",4,"lda","accuracy",0.4344,0.4016,0.4136,0.4056,0.3768,0.4464,0.4016,0.428,0.4056,0.4176,0.4504,0.4016,0.4536,0.4096,0.4176,0.868
"covtype",4,"lda","accuracy",0.396,0.3896,0.3992,0.3944,0.3928,0.384,0.3912,0.372,0.3944,0.3464,0.396,0.3912,0.3992,0.3944,0.3928,0.5384
"HIGGS",4,"lda","accuracy",0.5792,0.5712,0.596,0.5744,0.5744,0.5848,0.5712,0.572,0.5728,0.572,0.5752,0.5712,0.5832,0.5752,0.5504,0.5624
"kdd",4,"lda","accuracy",0.8736,0.848,0.8672,0.8456,0.8616,0.7936,0.848,0.8288,0.8448,0.7888,0.8592,0.848,0.856,0.8456,0.844,0.5912
"simulC2",4,"lda","accuracy",0.5312,0.528,0.5064,0.52,0.52,0.5208,0.528,0.5088,0.5488,0.4928,0.5384,0.528,0.532,0.4848,0.5312,0.5128
"simulC8",4,"lda","accuracy",0.3656,0.3144,0.3816,0.304,0.3816,0.3584,0.3144,0.352,0.3104,0.344,0.4096,0.3144,0.4184,0.2752,0.4128,0.324
"spambase",4,"lda","accuracy",0.6888,0.6072,0.6792,0.5896,0.6448,0.6808,0.6072,0.6472,0.5896,0.6472,0.6688,0.6056,0.6712,0.592,0.6248,0.8664
"connect4",7,"lda","accuracy",0.4264,0.3896,0.3888,0.368,0.3048,0.4216,0.3896,0.42,0.3672,0.404,0.4384,0.3904,0.4328,0.3664,0.4136,0.868
"covtype",7,"lda","accuracy",0.5424,0.4232,0.54,0.4048,0.3472,0.5536,0.4232,0.4992,0.4048,0.4496,0.5424,0.4224,0.54,0.4048,0.348,0.5384
"HIGGS",7,"lda","accuracy",0.5512,0.556,0.5448,0.5304,0.5224,0.5504,0.556,0.5448,0.5288,0.512,0.548,0.556,0.5448,0.5304,0.5408,0.5624
"kdd",7,"lda","accuracy",0.896,0.7544,0.9016,0.7608,0.7672,0.852,0.7536,0.888,0.7608,0.7272,0.888,0.7536,0.8856,0.7608,0.8672,0.5912
"simulC2",7,"lda","accuracy",0.5208,0.5184,0.5352,0.4968,0.4968,0.532,0.5184,0.5472,0.5184,0.5296,0.5712,0.5184,0.5816,0.5096,0.592,0.5128
"simulC8",7,"lda","accuracy",0.396,0.3544,0.3824,0.2936,0.3736,0.3928,0.3544,0.372,0.2936,0.3928,0.5008,0.3544,0.4784,0.244,0.4928,0.324
"spambase",7,"lda","accuracy",0.7944,0.6536,0.7896,0.6232,0.6744,0.764,0.6536,0.7832,0.6248,0.6752,0.7176,0.656,0.7144,0.6232,0.668,0.8664
"connect4",11,"lda","accuracy",0.5368,0.3512,0.5224,0.3576,0.3296,0.5472,0.3496,0.5392,0.3592,0.4928,0.556,0.3496,0.5512,0.3592,0.5144,0.868
"covtype",11,"lda","accuracy",0.5504,0.4176,0.5552,0.4256,0.408,0.5224,0.4176,0.5368,0.4184,0.3736,0.5504,0.4176,0.5544,0.4256,0.404,0.5384
"HIGGS",11,"lda","accuracy",0.5312,0.5256,0.5272,0.5128,0.5136,0.5288,0.5256,0.5256,0.5128,0.5056,0.5288,0.5256,0.532,0.516,0.5216,0.5624
"kdd",11,"lda","accuracy",0.884,0.7488,0.884,0.7568,0.7656,0.8936,0.7488,0.868,0.7568,0.8448,0.872,0.7432,0.876,0.7568,0.8144,0.5912
"simulC2",11,"lda","accuracy",0.5248,0.5248,0.528,0.5248,0.5248,0.5264,0.5248,0.532,0.5272,0.5224,0.5832,0.5248,0.58,0.4896,0.5816,0.5128
"simulC8",11,"lda","accuracy",0.4344,0.3464,0.4456,0.2768,0.38,0.4256,0.3464,0.4184,0.2808,0.3816,0.5536,0.3464,0.5128,0.26,0.516,0.324
"spambase",11,"lda","accuracy",0.793333333333333,0.664,0.782666666666667,0.598666666666667,0.656,0.776,0.664,0.762666666666667,0.608,0.717333333333333,0.745333333333333,0.670666666666667,0.744,0.602666666666667,0.717333333333333,0.8664
"connect4",15,"lda","accuracy",0.5048,0.352,0.5064,0.3488,0.3008,0.5064,0.3488,0.5136,0.3488,0.46,0.4984,0.3488,0.5128,0.3472,0.4768,0.868
"covtype",15,"lda","accuracy",0.4864,0.42,0.5072,0.428,0.3408,0.4968,0.42,0.4896,0.4288,0.3776,0.4864,0.42,0.5016,0.428,0.34,0.5384
"HIGGS",15,"lda","accuracy",0.5224,0.5432,0.5168,0.5376,0.5376,0.5224,0.5432,0.516,0.5384,0.5152,0.5256,0.5432,0.5192,0.5296,0.5208,0.5624
"kdd",15,"lda","accuracy",0.8648,0.7184,0.8632,0.7192,0.7576,0.8664,0.7184,0.86,0.7192,0.8224,0.8112,0.7184,0.82,0.7192,0.7624,0.5912
"simulC2",15,"lda","accuracy",0.4968,0.4776,0.5032,0.4832,0.4832,0.4968,0.4776,0.4984,0.4888,0.4608,0.5856,0.4776,0.5768,0.4736,0.5976,0.5128
"simulC8",15,"lda","accuracy",0.5272,0.2928,0.52,0.2376,0.3656,0.5,0.292,0.5152,0.2384,0.356,0.6616,0.292,0.6304,0.2304,0.6264,0.324
"spambase",15,"lda","accuracy",0.808,0.576,0.816,0.525,0.603,0.781,0.576,0.795,0.522,0.61,0.775,0.579,0.772,0.527,0.694,0.8664
"connect4",2,"multinom","accuracy",0.5496,0.5576,0.4936,0.5544,0.5504,0.556,0.5576,0.5216,0.5536,0.5552,0.5672,0.5576,0.5528,0.552,0.5616,0.9176
"covtype",2,"multinom","accuracy",0.5656,0.6272,0.6256,0.62,0.5624,0.5712,0.6272,0.596,0.6152,0.5656,0.564,0.6272,0.6168,0.62,0.5608,0.5696
"HIGGS",2,"multinom","accuracy",0.5952,0.5952,0.5424,0.5952,0.5952,0.5904,0.5952,0.5656,0.5992,0.5728,0.5968,0.5952,0.5832,0.5872,0.596,0.5912
"kdd",2,"multinom","accuracy",0.8968,0.8944,0.9136,0.8944,0.8952,0.9024,0.8944,0.9072,0.8928,0.9,0.8952,0.8944,0.8896,0.8936,0.8928,0.5848
"simulC2",2,"multinom","accuracy",0.5136,0.5136,0.5056,0.5136,0.5136,0.512,0.5136,0.5064,0.5152,0.4976,0.524,0.5136,0.524,0.4912,0.528,0.5128
"simulC8",2,"multinom","accuracy",0.3456,0.3448,0.3536,0.3296,0.3672,0.3544,0.3448,0.3504,0.3224,0.384,0.3784,0.3448,0.3792,0.3184,0.3864,0.3336
"spambase",2,"multinom","accuracy",0.84,0.84,0.8384,0.84,0.84,0.7968,0.84,0.8152,0.84,0.7968,0.8264,0.84,0.8272,0.84,0.828,0.8464
"connect4",4,"multinom","accuracy",0.5,0.4992,0.4848,0.484,0.3648,0.4928,0.4992,0.4936,0.484,0.4112,0.5032,0.4976,0.5024,0.4824,0.4656,0.9176
"covtype",4,"multinom","accuracy",0.616,0.5608,0.6112,0.5472,0.5472,0.5848,0.5608,0.6096,0.5472,0.5048,0.616,0.56,0.6112,0.5472,0.5472,0.5696
"HIGGS",4,"multinom","accuracy",0.5744,0.5416,0.58,0.5416,0.5416,0.5784,0.5416,0.5584,0.5416,0.5704,0.5744,0.5416,0.5744,0.5416,0.5576,0.5912
"kdd",4,"multinom","accuracy",0.9176,0.908,0.9168,0.9064,0.9376,0.9136,0.908,0.9032,0.9072,0.9128,0.9208,0.908,0.9208,0.9064,0.908,0.5848
