"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/cleankdd_train.csv",2,"forest","accuracy",0.952
"../scenariosimul/connect-4Train.csv",2,"forest","accuracy",0.5984
"../scenariosimul/covtype.data",2,"forest","accuracy",0.6424
"../scenariosimul/HIGGS.csv",2,"forest","accuracy",0.6144
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"forest","accuracy",0.6064
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"forest","accuracy",0.8168
"../scenariosimul/spambase.data",2,"forest","accuracy",0.9128
"../scenariosimul/cleankdd_train.csv",4,"forest","accuracy",0.952
"../scenariosimul/connect-4Train.csv",4,"forest","accuracy",0.5984
"../scenariosimul/covtype.data",4,"forest","accuracy",0.6424
"../scenariosimul/HIGGS.csv",4,"forest","accuracy",0.6144
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"forest","accuracy",0.6064
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"forest","accuracy",0.8168
"../scenariosimul/spambase.data",4,"forest","accuracy",0.9128
"../scenariosimul/cleankdd_train.csv",7,"forest","accuracy",0.952
"../scenariosimul/connect-4Train.csv",7,"forest","accuracy",0.5984
"../scenariosimul/covtype.data",7,"forest","accuracy",0.6424
"../scenariosimul/HIGGS.csv",7,"forest","accuracy",0.6144
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"forest","accuracy",0.6064
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"forest","accuracy",0.8168
"../scenariosimul/spambase.data",7,"forest","accuracy",0.9128
"../scenariosimul/cleankdd_train.csv",11,"forest","accuracy",0.952
"../scenariosimul/connect-4Train.csv",11,"forest","accuracy",0.5984
"../scenariosimul/covtype.data",11,"forest","accuracy",0.6424
"../scenariosimul/HIGGS.csv",11,"forest","accuracy",0.6144
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"forest","accuracy",0.6064
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"forest","accuracy",0.8168
"../scenariosimul/spambase.data",11,"forest","accuracy",0.9128
"../scenariosimul/cleankdd_train.csv",15,"forest","accuracy",0.952
"../scenariosimul/connect-4Train.csv",15,"forest","accuracy",0.5984
"../scenariosimul/covtype.data",15,"forest","accuracy",0.6424
"../scenariosimul/HIGGS.csv",15,"forest","accuracy",0.6144
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"forest","accuracy",0.6064
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"forest","accuracy",0.8168
"../scenariosimul/spambase.data",15,"forest","accuracy",0.9128
"../scenariosimul/cleankdd_train.csv",2,"lda","accuracy",0.868
"../scenariosimul/connect-4Train.csv",2,"lda","accuracy",0.5384
"../scenariosimul/covtype.data",2,"lda","accuracy",0.5624
"../scenariosimul/HIGGS.csv",2,"lda","accuracy",0.5912
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"lda","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"lda","accuracy",0.324
"../scenariosimul/spambase.data",2,"lda","accuracy",0.8664
"../scenariosimul/cleankdd_train.csv",4,"lda","accuracy",0.868
"../scenariosimul/connect-4Train.csv",4,"lda","accuracy",0.5384
"../scenariosimul/covtype.data",4,"lda","accuracy",0.5624
"../scenariosimul/HIGGS.csv",4,"lda","accuracy",0.5912
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"lda","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"lda","accuracy",0.324
"../scenariosimul/spambase.data",4,"lda","accuracy",0.8664
"../scenariosimul/cleankdd_train.csv",7,"lda","accuracy",0.868
"../scenariosimul/connect-4Train.csv",7,"lda","accuracy",0.5384
"../scenariosimul/covtype.data",7,"lda","accuracy",0.5624
"../scenariosimul/HIGGS.csv",7,"lda","accuracy",0.5912
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"lda","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"lda","accuracy",0.324
"../scenariosimul/spambase.data",7,"lda","accuracy",0.8664
"../scenariosimul/cleankdd_train.csv",11,"lda","accuracy",0.868
"../scenariosimul/connect-4Train.csv",11,"lda","accuracy",0.5384
"../scenariosimul/covtype.data",11,"lda","accuracy",0.5624
"../scenariosimul/HIGGS.csv",11,"lda","accuracy",0.5912
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"lda","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"lda","accuracy",0.324
"../scenariosimul/spambase.data",11,"lda","accuracy",0.8664
"../scenariosimul/cleankdd_train.csv",15,"lda","accuracy",0.868
