"DATASET","P","CLASSIFIER","STAT","GLOBAL"
"../scenariosimul/spambase.data","2","forest","precision","0.943310344827586"
"../scenariosimul/spambase.data","2","forest","recall","0.924264900662252"
"../scenariosimul/spambase.data","2","forest","accuracy","0.928"
"../scenariosimul/spambase.data","4","forest","precision","0.943310344827586"
"../scenariosimul/spambase.data","4","forest","recall","0.924264900662252"
"../scenariosimul/spambase.data","4","forest","accuracy","0.928"
"../scenariosimul/spambase.data","7","forest","precision","0.943310344827586"
"../scenariosimul/spambase.data","7","forest","recall","0.924264900662252"
"../scenariosimul/spambase.data","7","forest","accuracy","0.928"
"../scenariosimul/spambase.data","11","forest","precision","0.943310344827586"
"../scenariosimul/spambase.data","11","forest","recall","0.924264900662252"
"../scenariosimul/spambase.data","11","forest","accuracy","0.928"
"../scenariosimul/spambase.data","15","forest","precision","0.943310344827586"
"../scenariosimul/spambase.data","15","forest","recall","0.924264900662252"
"../scenariosimul/spambase.data","15","forest","accuracy","0.928"
"../scenariosimul/spambase.data","2","svm","precision","0.756763358778626"
"../scenariosimul/spambase.data","2","svm","recall","0.703682119205298"
"../scenariosimul/spambase.data","2","svm","accuracy","0.712"
"../scenariosimul/spambase.data","4","svm","precision","0.756763358778626"
"../scenariosimul/spambase.data","4","svm","recall","0.703682119205298"
"../scenariosimul/spambase.data","4","svm","accuracy","0.712"
"../scenariosimul/spambase.data","7","svm","precision","0.756763358778626"
"../scenariosimul/spambase.data","7","svm","recall","0.703682119205298"
"../scenariosimul/spambase.data","7","svm","accuracy","0.712"
"../scenariosimul/spambase.data","11","svm","precision","0.756763358778626"
"../scenariosimul/spambase.data","11","svm","recall","0.703682119205298"
"../scenariosimul/spambase.data","11","svm","accuracy","0.712"
"../scenariosimul/spambase.data","15","svm","precision","0.756763358778626"
"../scenariosimul/spambase.data","15","svm","recall","0.703682119205298"
"../scenariosimul/spambase.data","15","svm","accuracy","0.712"
"../scenariosimul/spambase.data","2","xgboost","precision","0.916531468531468"
"../scenariosimul/spambase.data","2","xgboost","recall","0.891708609271523"
"../scenariosimul/spambase.data","2","xgboost","accuracy","0.896"
"../scenariosimul/spambase.data","4","xgboost","precision","0.916531468531468"
"../scenariosimul/spambase.data","4","xgboost","recall","0.891708609271523"
"../scenariosimul/spambase.data","4","xgboost","accuracy","0.896"
"../scenariosimul/spambase.data","7","xgboost","precision","0.916531468531468"
"../scenariosimul/spambase.data","7","xgboost","recall","0.891708609271523"
"../scenariosimul/spambase.data","7","xgboost","accuracy","0.896"
"../scenariosimul/spambase.data","11","xgboost","precision","0.916531468531468"
"../scenariosimul/spambase.data","11","xgboost","recall","0.891708609271523"
"../scenariosimul/spambase.data","11","xgboost","accuracy","0.896"
"../scenariosimul/spambase.data","15","xgboost","precision","0.916531468531468"
"../scenariosimul/spambase.data","15","xgboost","recall","0.891708609271523"
"../scenariosimul/spambase.data","15","xgboost","accuracy","0.896"
"../scenariosimul/spambase.data","2","multinom","precision","0.881388888888889"
"../scenariosimul/spambase.data","2","multinom","recall","0.86046357615894"
"../scenariosimul/spambase.data","2","multinom","accuracy","0.86"
"../scenariosimul/spambase.data","4","multinom","precision","0.881388888888889"
"../scenariosimul/spambase.data","4","multinom","recall","0.86046357615894"
