"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX"
"spambase","2","forest","precision","0.948638888888889","0.948638888888889","0.932","0.948638888888889","0.948638888888889","0.946517482517482","0.946517482517482","0.941401459854015","0.944394366197183","0.954013986013986","0.948638888888889","0.948638888888889","0.946517482517482","0.926222222222222","0.946517482517482"
"spambase","2","forest","recall","0.926264900662252","0.926264900662252","0.928887417218543","0.926264900662252","0.926264900662252","0.920953642384106","0.920953642384106","0.896397350993377","0.91564238410596","0.928264900662252","0.926264900662252","0.926264900662252","0.920953642384106","0.904331125827815","0.920953642384106"
"spambase","2","forest","accuracy","0.932","0.932","0.924","0.932","0.932","0.928","0.928","0.912","0.924","0.936","0.932","0.932","0.928","0.908","0.928"
"spambase","2","svm","precision","0.806053097345133","0.806053097345133","0.64834632034632","0.806053097345133","0.806053097345133","0.809441441441441","0.806053097345133","0.785054945054945","0.766976744186046","0.79","0.782144329896907","0.806053097345133","0.776842105263158","0.6495859030837","0.7795"
"spambase","2","svm","recall","0.695814569536424","0.695814569536424","0.818066225165563","0.695814569536424","0.695814569536424","0.692503311258278","0.695814569536424","0.608211920529801","0.707682119205298","0.641390728476821","0.625456953642384","0.695814569536424","0.614834437086093","0.811443708609272","0.620145695364238"
"spambase","2","svm","accuracy","0.736","0.736","0.656","0.736","0.736","0.736","0.736","0.68","0.72","0.7","0.688","0.736","0.68","0.656","0.684"
"spambase","2","xgboost","precision","0.894041958041958","0.894041958041958","0.880271604938272","0.894041958041958","0.894041958041958","0.894041958041958","0.894041958041958","0.895503649635036","0.888861111111111","0.898620689655172","0.888","0.894041958041958","0.890331125827815","0.885664429530201","0.890331125827815"
"spambase","2","xgboost","recall","0.869774834437086","0.869774834437086","0.912198675496689","0.869774834437086","0.869774834437086","0.869774834437086","0.869774834437086","0.852529801324503","0.867774834437086","0.880397350993377","0.885019867549669","0.869774834437086","0.890331125827815","0.879708609271523","0.890331125827815"
"spambase","2","xgboost","accuracy","0.872","0.872","0.884","0.872","0.872","0.872","0.872","0.864","0.868","0.88","0.876","0.872","0.88","0.872","0.88"
"spambase","2","multinom","precision","0.828571428571429","0.828571428571429","0.831090909090909","0.828571428571429","0.828571428571429","0.816918918918919","0.828571428571429","0.841090909090909","0.828571428571429","0.816918918918919","0.821768707482993","0.828571428571429","0.821768707482993","0.828571428571429","0.821768707482993"
"spambase","2","multinom","recall","0.893509933774834","0.893509933774834","0.89882119205298","0.893509933774834","0.893509933774834","0.808596026490066","0.893509933774834","0.716437086092715","0.893509933774834","0.808596026490066","0.810596026490066","0.893509933774834","0.810596026490066","0.893509933774834","0.810596026490066"
"spambase","2","multinom","accuracy","0.84","0.84","0.844","0.84","0.84","0.796","0.84","0.764","0.84","0.796","0.8","0.84","0.8","0.84","0.8"
"spambase","2","lda","precision","0.880251572327044","0.880251572327044","0.799473684210526","0.880251572327044","0.880251572327044","0.86112101910828","0.880251572327044","0.907484848484849","0.880251572327044","0.863544303797468","0.870708860759494","0.880251572327044","0.86125","0.861447852760736","0.86125"
"spambase","2","lda","recall","0.903576158940397","0.903576158940397","0.900066225165563","0.903576158940397","0.903576158940397","0.878331125827815","0.903576158940397","0.847907284768212","0.903576158940397","0.88364238410596","0.890953642384106","0.903576158940397","0.886953642384106","0.895576158940397","0.886953642384106"
"spambase","2","lda","accuracy","0.88","0.88","0.82","0.88","0.88","0.856","0.88","0.868","0.88","0.86","0.868","0.88","0.86","0.864","0.86"
"spambase","2","forest","precision","0.913414012738853","0.913414012738853","0.903685534591195","0.913414012738853","0.913414012738853","0.918333333333333","0.913414012738853","0.903685534591195","0.911516339869281","0.918333333333333","0.90853164556962","0.913414012738853","0.911516339869281","0.918333333333333","0.911516339869281"
"spambase","2","forest","recall","0.934666666666667","0.934666666666667","0.930666666666667","0.934666666666667","0.934666666666667","0.936666666666667","0.934666666666667","0.930666666666667","0.920666666666667","0.936666666666667","0.932666666666667","0.934666666666667","0.920666666666667","0.936666666666667","0.920666666666667"
"spambase","2","forest","accuracy","0.916","0.916","0.908","0.916","0.916","0.92","0.916","0.908","0.908","0.92","0.912","0.916","0.908","0.92","0.908"
"spambase","2","svm","precision","0.614185185185185","0.614185185185185","0.602966101694915","0.614185185185185","0.614185185185185","0.622785388127854","0.614185185185185","0.602966101694915","0.598651162790698","0.629068493150685","0.623364055299539","0.614185185185185","0.63251376146789","0.59184331797235","0.63312962962963"
"spambase","2","svm","recall","0.750666666666667","0.750666666666667","0.776666666666667","0.750666666666667","0.750666666666667","0.766666666666667","0.750666666666667","0.776666666666667","0.730666666666667","0.774","0.763333333333333","0.750666666666667","0.776","0.726666666666667","0.772666666666667"
"spambase","2","svm","accuracy","0.608","0.608","0.6","0.608","0.608","0.62","0.608","0.6","0.588","0.628","0.62","0.608","0.632","0.58","0.632"
"spambase","2","xgboost","precision","0.903923076923077","0.903923076923077","0.859529411764706","0.903923076923077","0.903923076923077","0.886993788819876","0.903923076923077","0.859529411764706","0.899298701298701","0.884625","0.89420253164557","0.903923076923077","0.879873417721519","0.896717948717949","0.882307692307692"
"spambase","2","xgboost","recall","0.922","0.922","0.916","0.922","0.922","0.919333333333333","0.922","0.916","0.911333333333333","0.914","0.918","0.922","0.903333333333333","0.914666666666667","0.9"
"spambase","2","xgboost","accuracy","0.904","0.904","0.872","0.904","0.904","0.892","0.904","0.872","0.896","0.888","0.896","0.904","0.88","0.896","0.88"
"spambase","2","multinom","precision","0.838705882352941","0.838705882352941","0.828779661016949","0.838705882352941","0.838705882352941","0.858857142857143","0.838705882352941","0.828779661016949","0.838705882352941","0.858857142857143","0.857368421052632","0.838705882352941","0.862148148148148","0.838705882352941","0.862148148148148"
"spambase","2","multinom","recall","0.894","0.894","0.902","0.894","0.894","0.829333333333333","0.894","0.902","0.894","0.829333333333333","0.806666666666667","0.894","0.817333333333333","0.894","0.817333333333333"
"spambase","2","multinom","accuracy","0.848","0.848","0.844","0.848","0.848","0.832","0.848","0.844","0.848","0.832","0.82","0.848","0.828","0.848","0.828"
"spambase","2","lda","precision","0.831173652694611","0.831173652694611","0.799304347826087","0.831173652694611","0.831173652694611","0.828818791946309","0.831173652694611","0.799304347826087","0.83566265060241","0.833675675675676","0.822129032258065","0.831173652694611","0.817032679738562","0.83566265060241","0.826831168831169"
"spambase","2","lda","recall","0.878","0.878","0.888","0.878","0.878","0.826","0.878","0.888","0.88","0.828","0.836","0.878","0.825333333333333","0.88","0.838"
"spambase","2","lda","accuracy","0.836","0.836","0.816","0.836","0.836","0.812","0.836","0.816","0.84","0.816","0.812","0.836","0.804","0.84","0.816"
"spambase","2","forest","precision","0.903044585987261","0.903044585987261","0.89575","0.903044585987261","0.903044585987261","0.907923076923077","0.903044585987261","0.89575","0.900717948717949","0.912838709677419","0.903044585987261","0.903044585987261","0.907923076923077","0.900717948717949","0.903044585987261"
"spambase","2","forest","recall","0.930351351351351","0.930351351351351","0.93172972972973","0.930351351351351","0.930351351351351","0.932351351351351","0.930351351351351","0.93172972972973","0.924972972972973","0.934351351351351","0.930351351351351","0.930351351351351","0.932351351351351","0.924972972972973","0.930351351351351"
"spambase","2","forest","accuracy","0.908","0.908","0.904","0.908","0.908","0.912","0.908","0.904","0.904","0.916","0.908","0.908","0.912","0.904","0.908"
"spambase","2","svm","precision","0.625679245283019","0.625679245283019","0.617359307359307","0.625679245283019","0.625679245283019","0.622206572769953","0.625679245283019","0.617359307359307","0.731294964028777","0.625659192825112","0.627953488372093","0.625679245283019","0.626217194570136","0.710262773722628","0.626785388127854"
"spambase","2","svm","recall","0.761324324324324","0.761324324324324","0.78972972972973","0.761324324324324","0.761324324324324","0.759324324324324","0.761324324324324","0.78972972972973","0.708108108108108","0.783594594594595","0.770081081081081","0.761324324324324","0.780216216216216","0.682594594594595","0.776837837837838"
"spambase","2","svm","accuracy","0.624","0.624","0.62","0.624","0.624","0.62","0.624","0.62","0.7","0.628","0.628","0.624","0.628","0.676","0.628"
"spambase","2","xgboost","precision","0.8815","0.8815","0.858619047619048","0.8815","0.8815","0.8815","0.8815","0.858619047619048","0.874375","0.876708860759494","0.886251572327044","0.8815","0.883935483870968","0.8815","0.881490445859873"
"spambase","2","xgboost","recall","0.916972972972973","0.916972972972973","0.91572972972973","0.916972972972973","0.916972972972973","0.916972972972973","0.916972972972973","0.91572972972973","0.909594594594595","0.906216216216216","0.918972972972973","0.916972972972973","0.904837837837838","0.916972972972973","0.908216216216216"
"spambase","2","xgboost","accuracy","0.888","0.888","0.872","0.888","0.888","0.888","0.888","0.872","0.88","0.88","0.892","0.888","0.884","0.888","0.884"
"spambase","2","multinom","precision","0.870055944055944","0.870055944055944","0.857372549019608","0.870055944055944","0.870055944055944","0.84140625","0.870055944055944","0.857372549019608","0.870055944055944","0.84140625","0.866757575757576","0.870055944055944","0.864381679389313","0.870055944055944","0.866757575757576"
"spambase","2","multinom","recall","0.855054054054054","0.855054054054054","0.871945945945946","0.855054054054054","0.855054054054054","0.781756756756757","0.855054054054054","0.871945945945946","0.855054054054054","0.781756756756757","0.818027027027027","0.855054054054054","0.812648648648649","0.855054054054054","0.818027027027027"
"spambase","2","multinom","accuracy","0.852","0.852","0.852","0.852","0.852","0.8","0.852","0.852","0.852","0.8","0.832","0.852","0.828","0.852","0.832"
"spambase","2","lda","precision","0.864640522875817","0.864640522875817","0.828494382022472","0.864640522875817","0.864640522875817","0.867661971830986","0.864640522875817","0.828494382022472","0.864640522875817","0.847506849315068","0.872176870748299","0.864640522875817","0.828","0.864640522875817","0.859810810810811"
"spambase","2","lda","recall","0.879324324324324","0.879324324324324","0.910486486486487","0.879324324324324","0.879324324324324","0.849675675675676","0.879324324324324","0.910486486486487","0.879324324324324","0.841675675675676","0.869189189189189","0.879324324324324","0.833675675675676","0.879324324324324","0.859810810810811"
"spambase","2","lda","accuracy","0.86","0.86","0.848","0.86","0.86","0.848","0.86","0.848","0.86","0.832","0.86","0.86","0.816","0.86","0.848"
"spambase","2","forest","precision","0.897454545454546","0.897454545454546","0.881294117647059","0.897454545454546","0.897454545454546","0.904617283950617","0.897454545454546","0.905516339869281","0.892771084337349","0.911974842767296","0.89511377245509","0.897454545454546","0.890424242424242","0.897685534591195","0.892771084337349"
"spambase","2","forest","recall","0.932392156862745","0.932392156862745","0.929660130718954","0.932392156862745","0.932392156862745","0.931124183006536","0.932392156862745","0.905516339869281","0.930392156862745","0.929856209150327","0.935660130718954","0.932392156862745","0.925124183006536","0.915320261437909","0.930392156862745"
"spambase","2","forest","accuracy","0.904","0.904","0.892","0.904","0.904","0.908","0.904","0.896","0.9","0.912","0.904","0.904","0.896","0.896","0.9"
"spambase","2","svm","precision","0.637021276595745","0.637021276595745","0.612","0.637021276595745","0.637021276595745","0.629807531380753","0.637021276595745","0.65448401826484","0.657272727272727","0.621716599190283","0.6455859030837","0.637021276595745","0.657272727272727","0.609220883534137","0.657272727272727"
